id;receita_codigo;receita_descricao;receita_data_ocorrencia;receita_valor;dia;mes;ano;valor_mes;valor_ano;valor_receita_ano;valor_receita_mes;valor_consolidado_mes;valor_consolidado_ano;codigo_conta_contabil;descricao_conta_contabil;data_atualizacao;valor_jan;valor_fev;valor_mar;valor_abr;valor_mai;valor_jun;valor_jul;valor_ago;valor_set;valor_out;valor_nov;valor_dez
191776;741112020001000000;IPTU - PRÓPRIO;2010-01-01;6039439.51;1;1;2010;0.00;6039439.51;6039439.51;0.00;0.00;6039439.51;741112020001000000;IPTU - PRÓPRIO;2016-05-06T09:20:59.213360;48554.25;111622.77;3586139.90;281641.09;236002.46;282318.32;138317.18;342821.48;216855.94;119608.53;369387.76;306169.83
191777;741112020001000000;IPTU - PRÓPRIO;2012-01-01;12563356.46;1;1;2012;0.00;12563356.46;12563356.46;0.00;0.00;12563356.46;741112020001000000;IPTU - PRÓPRIO;2016-05-06T09:20:59.227471;18692.24;200843.91;5859537.42;1663758.81;713525.96;602979.45;601614.14;628473.87;540117.42;590434.33;523591.90;619787.01
191778;741112020001000000;IPTU - PRÓPRIO;2014-01-01;29491194.19;1;1;2014;0.00;29491194.19;29491194.19;0.00;0.00;29491194.19;741112020001000000;IPTU - PRÓPRIO;2016-05-06T09:20:59.234694;437237.58;300412.19;593982.01;2634691.29;13390513.52;1002526.54;1247615.27;1084290.17;871952.31;1305541.83;4450911.66;2171519.82
191779;741112020001000000;IPTU - PRÓPRIO;2013-01-01;14659141.67;1;1;2013;0.00;14659141.67;14659141.67;0.00;0.00;14659141.67;741112020001000000;IPTU - PRÓPRIO;2016-05-06T09:20:59.257758;119826.78;315702.45;4287785.77;5133306.56;337545.16;293807.07;313486.64;318821.96;460648.97;1844447.84;653707.83;580054.64
191780;741112020001000000;IPTU - PRÓPRIO;2011-01-01;6819873.56;1;1;2011;0.00;6819873.56;6819873.56;0.00;0.00;6819873.56;741112020001000000;IPTU - PRÓPRIO;2016-05-06T09:20:59.264114;48712.31;200245.35;3966128.75;396450.27;309927.49;220860.62;183174.70;211740.27;138388.08;124337.22;142682.71;877225.79
191781;741112020002000000;IPTU - MDE;2011-01-01;2841614.09;1;1;2011;0.00;2841614.09;2841614.09;0.00;0.00;2841614.09;741112020002000000;IPTU - MDE;2016-05-06T09:20:59.270276;20296.81;83435.58;1652553.65;165187.62;129136.47;92025.27;76322.79;88225.11;57661.71;51807.19;59451.12;365510.77
191782;741112020002000000;IPTU - MDE;2012-01-01;5234731.93;1;1;2012;0.00;5234731.93;5234731.93;0.00;0.00;5234731.93;741112020002000000;IPTU - MDE;2016-05-06T09:20:59.276466;7788.44;83684.98;2441473.92;693232.85;297302.47;251241.45;250672.57;261864.11;225048.94;246014.32;218163.30;258244.58
191783;741112020002000000;IPTU - MDE;2010-01-01;2516433.16;1;1;2010;0.00;2516433.16;2516433.16;0.00;0.00;2516433.16;741112020002000000;IPTU - MDE;2016-05-06T09:20:59.281677;20230.95;46509.49;1494224.94;117350.46;98334.36;117632.65;57632.17;142842.29;90356.65;49836.89;153911.55;127570.76
191784;741112020002000000;IPTU - MDE;2013-01-01;6107975.77;1;1;2013;0.00;6107975.77;6107975.77;0.00;0.00;6107975.77;741112020002000000;IPTU - MDE;2016-05-06T09:20:59.287678;49927.83;131542.69;1786577.41;2138877.75;140643.82;122419.61;130619.44;132842.49;191937.08;768519.94;272378.27;241689.44
191785;741112020002000000;IPTU - MDE;2014-01-01;12287997.62;1;1;2014;0.00;12287997.62;12287997.62;0.00;0.00;12287997.62;741112020002000000;IPTU - MDE;2016-05-06T09:20:59.295638;182182.32;125171.75;247492.51;1097788.04;5579380.63;417719.40;519839.69;451787.56;363313.47;543975.78;1854546.54;904799.93
